County;Municipality;ID;Discovered;Site_type;Name;Period;Arrow_transverse;Arrow_single_edged;Arrow_A;Arrow_B;Arrow_C;Arrow_D;Arrow_bifacial;Flint_spear;Flint_dagger;Flint_sickle;Slate_arrow_rhombic;Slate_knife;Slate_spear;Slate_sawed;Quartz_present;Core_shell_disc;Core_cylindrical;Core_conical;Core_keeled;Axe_flint_core;Axe_noestvet;Axe_pecked;Axe_limhamn;Axe_vespestad;Axe_vestlands;Axe_flint_pointbutt;Axe_flint_thickbutt;Axe_flint_thinbutt;Axe_flint_thinblade;Club_starshaped;Club_round;Battleaxe_BAC;Battleaxe_TRB_EN;Battleaxe_TRB_MN;Flake_polished;Bone_tool;Amber;Metal;Pendant_threesided;Pendant_LN;Grinding_stone_knuckle;Pottery_present;Reference
Vestland;Bremanger;B14604;1991;Settlement;Havnen_17_Fase_4;MNA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Bergsvik_2002
Vestland;Bremanger;B14604;1991;Settlement;Havnen_17_Fase_5;BA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bergsvik_2002
Vestland;Bremanger;B11670,_B15544;1963;Settlement;Glofoeyk_26;N;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Bakka_1979,_Bergsvik_2002
Vestland;Bremanger;B14738;1995;Settlement;Glofoeyk_27_Fase_3;N;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bergsvik_2002
Vestland;Bremanger;B134739;1995;Settlement;Glofoeyk_28_Fase_4-5;MNB;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bergsvik_2002
Vestland;Bremanger;;1995;Settlement;Klubben 79;F4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bergsvik_2002
Vestland;Hoeyanger;B13350;;Grave;Osland;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Oestmo_2011
Vestland;Laerdal;B17307;2014;Settlement;Eldrevatn_II;EN;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Roegenes_and_aastveit_2015
Vestland;Aardal;B12523;1984;Settlement;Skrivarhelleren_VI-VII;LN;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;Prescott_1991,_Soerensen_2014:31
Vestland;Solund;B11671;1964;Settlement;Groenehelleren_Fase_I-II;N;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;Jansen_1972
Vestland;Solund;B11671;1964;Settlement;Groenehelleren_Fase_III;N;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Jansen_1972
Vestland;Boemlo;B15180;1993;Grave;Kjoettvika_13;LN;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Boemlo;B15201;1993;Settlement;Kjoettvika_37;N;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Boemlo;B15217;1993;Settlement;Kjoettvika_60;N;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Boemlo;B15199;1993;Grave;Kobbavaagen_32;N;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Boemlo;B15256;1993;Settlement;Kobbavaagen_103;MNB;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Boemlo;B15188;1993;Settlement;Litla_Skiftesvika_112;N;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Kristoffersen_and_Warren_2001
Vestland;Radoey;B11450,_B11511;1961;Settlement;Ramsvikneset_bunnlag;EN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bakka_1964,_1993
Vestland;Radoey;B11450,_B11511;1961;Settlement;Ramsvikneset;N;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;Bakka_1964,_1993,_Skjoelsvold_1977:228,244
Vestland;Radoey;B11450,_B11511;1961;Settlement;Ramsvikneset_top-soil;LN;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Bakka_1964,_1993
Vestland;Radoey;B11512;1962;Settlement;Groendalen;N;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Unpublished
Vestland;Radoey;B14500,_B14505;1985;Settlement;Kotedalen_phase_10;F4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Olsen_1992
